model_name,tm_score
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_32.pdb,0.92
afm_dropout_full_model_3_multimer_v3_pred_12.pdb,0.92
afm_basic_model_1_multimer_v1_pred_29.pdb,0.92
afm_woTemplates_model_3_multimer_v3_pred_17.pdb,0.92
afm_woTemplates_model_3_multimer_v3_pred_20.pdb,0.92
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_33.pdb,0.92
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_11.pdb,0.92
afm_dropout_full_model_1_multimer_v1_pred_54.pdb,0.92
afm_dropout_full_model_2_multimer_v3_pred_56.pdb,0.92
afm_basic_model_1_multimer_v1_pred_62.pdb,0.92
afm_dropout_full_model_2_multimer_v3_pred_15.pdb,0.92
afm_dropout_full_model_2_multimer_v3_pred_48.pdb,0.92
afm_dropout_full_model_4_multimer_v3_pred_53.pdb,0.92
afm_dropout_full_model_2_multimer_v3_pred_52.pdb,0.92
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_42.pdb,0.92
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_17.pdb,0.92
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_6.pdb,0.92
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_0.pdb,0.92
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_56.pdb,0.92
afm_dropout_full_model_2_multimer_v3_pred_33.pdb,0.92
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_41.pdb,0.92
afm_dropout_full_model_2_multimer_v3_pred_6.pdb,0.92
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_18.pdb,0.92
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_48.pdb,0.92
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_35.pdb,0.92
afm_dropout_full_model_2_multimer_v3_pred_17.pdb,0.92
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_45.pdb,0.92
afm_basic_model_2_multimer_v3_pred_14.pdb,0.92
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_21.pdb,0.919
afm_dropout_full_model_2_multimer_v3_pred_18.pdb,0.919
afm_basic_model_4_multimer_v3_pred_18.pdb,0.919
afm_woTemplates_model_4_multimer_v3_pred_30.pdb,0.919
afm_woTemplates_model_3_multimer_v3_pred_18.pdb,0.919
afm_dropout_full_model_2_multimer_v3_pred_34.pdb,0.919
afm_dropout_full_model_2_multimer_v3_pred_30.pdb,0.919
afm_dropout_full_model_2_multimer_v3_pred_57.pdb,0.919
afm_dropout_full_model_2_multimer_v3_pred_16.pdb,0.919
