model_name,tm_score
afm_dropout_full_model_2_multimer_v2_pred_11.pdb,0.725
afm_basic_model_5_multimer_v1_pred_5.pdb,0.725
afm_dropout_full_model_4_multimer_v2_pred_11.pdb,0.725
afm_dropout_full_model_2_multimer_v2_pred_12.pdb,0.724
afm_dropout_full_model_2_multimer_v2_pred_13.pdb,0.723
afm_basic_model_2_multimer_v2_pred_9.pdb,0.723
afm_basic_model_5_multimer_v1_pred_13.pdb,0.723
afm_dropout_full_model_1_multimer_v2_pred_11.pdb,0.722
afm_dropout_full_model_2_multimer_v2_pred_4.pdb,0.722
afm_dropout_full_model_2_multimer_v2_pred_15.pdb,0.722
afm_dropout_full_model_2_multimer_v2_pred_1.pdb,0.722
afm_dropout_full_model_2_multimer_v2_pred_0.pdb,0.722
afm_dropout_full_model_2_multimer_v2_pred_3.pdb,0.722
afm_dropout_full_model_2_multimer_v2_pred_16.pdb,0.722
afm_dropout_full_model_2_multimer_v2_pred_2.pdb,0.721
afm_dropout_full_model_2_multimer_v2_pred_14.pdb,0.721
afm_dropout_full_model_2_multimer_v2_pred_6.pdb,0.721
afm_dropout_full_model_2_multimer_v2_pred_9.pdb,0.721
afm_basic_model_4_multimer_v1_pred_7.pdb,0.72
afm_basic_model_5_multimer_v1_pred_4.pdb,0.72
afm_basic_model_5_multimer_v1_pred_3.pdb,0.719
afm_dropout_full_model_2_multimer_v2_pred_8.pdb,0.719
afm_basic_model_5_multimer_v1_pred_8.pdb,0.715
afm_dropout_full_model_5_multimer_v3_pred_12.pdb,0.713
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_7.pdb,0.713
afm_dropout_full_model_1_multimer_v1_pred_12.pdb,0.71
afm_basic_model_5_multimer_v1_pred_1.pdb,0.706
afm_basic_model_2_multimer_v1_pred_13.pdb,0.703
afm_basic_model_4_multimer_v1_pred_4.pdb,0.701
afm_basic_model_1_multimer_v1_pred_13.pdb,0.699
afm_basic_model_5_multimer_v1_pred_7.pdb,0.699
afm_basic_model_1_multimer_v1_pred_7.pdb,0.699
afm_basic_model_1_multimer_v1_pred_9.pdb,0.699
afm_basic_model_1_multimer_v1_pred_11.pdb,0.698
afm_basic_model_1_multimer_v1_pred_6.pdb,0.698
afm_basic_model_4_multimer_v1_pred_2.pdb,0.698
afm_basic_model_1_multimer_v1_pred_10.pdb,0.698
afm_dropout_full_model_1_multimer_v1_pred_9.pdb,0.697
afm_basic_model_1_multimer_v1_pred_3.pdb,0.697
afm_dropout_full_model_1_multimer_v1_pred_11.pdb,0.696
afm_dropout_full_model_1_multimer_v1_pred_4.pdb,0.695
afm_dropout_full_model_1_multimer_v1_pred_13.pdb,0.695
afm_basic_model_4_multimer_v1_pred_3.pdb,0.694
afm_dropout_full_model_1_multimer_v1_pred_7.pdb,0.694
afm_dropout_full_model_1_multimer_v1_pred_6.pdb,0.694
afm_basic_model_1_multimer_v1_pred_0.pdb,0.691
afm_basic_model_1_multimer_v1_pred_15.pdb,0.691
afm_dropout_full_model_1_multimer_v1_pred_3.pdb,0.691
afm_dropout_full_model_1_multimer_v1_pred_1.pdb,0.691
afm_dropout_full_model_1_multimer_v1_pred_15.pdb,0.691
