model_name,dockq_ave
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_25.pdb,0.474
cf_woTemplates_model_2_multimer_v3_pred_27.pdb,0.474
afm_basic_model_4_multimer_v3_pred_64.pdb,0.474
cf_woTemplates_model_1_multimer_v3_pred_21.pdb,0.474
afm_basic_model_2_multimer_v3_pred_40.pdb,0.474
cf_woTemplates_model_3_multimer_v2_pred_57.pdb,0.474
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_12.pdb,0.474
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_54.pdb,0.474
afm_basic_model_4_multimer_v3_pred_43.pdb,0.474
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_52.pdb,0.474
afm_dropout_full_model_5_multimer_v3_pred_62.pdb,0.474
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_12.pdb,0.474
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_27.pdb,0.474
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_2.pdb,0.474
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_38.pdb,0.474
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_64.pdb,0.474
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_2.pdb,0.474
cf_woTemplates_model_5_multimer_v3_pred_57.pdb,0.474
afm_dropout_full_model_5_multimer_v3_pred_33.pdb,0.474
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_26.pdb,0.474
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_64.pdb,0.474
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_26.pdb,0.474
afm_woTemplates_model_5_multimer_v3_pred_20.pdb,0.474
afm_basic_model_4_multimer_v3_pred_16.pdb,0.474
