model_name,oligo_gdtts
afm_basic_model_3_ptm_pred_62.pdb,0.766
afm_basic_model_3_ptm_pred_169.pdb,0.762
afm_dropout_full_model_3_ptm_pred_167.pdb,0.762
afm_basic_model_5_ptm_pred_113.pdb,0.76
afm_dropout_full_woTemplates_model_3_ptm_pred_183.pdb,0.76
afm_dropout_full_woTemplates_model_3_ptm_pred_72.pdb,0.76
afm_basic_model_5_ptm_pred_78.pdb,0.76
afm_dropout_full_model_5_ptm_pred_48.pdb,0.754
afm_dropout_full_model_3_ptm_pred_46.pdb,0.752
afm_basic_model_3_ptm_pred_57.pdb,0.752
afm_woTemplates_model_5_ptm_pred_177.pdb,0.744
afm_basic_model_5_ptm_pred_179.pdb,0.742
afm_dropout_noSM_woTemplates_model_5_ptm_pred_93.pdb,0.742
afm_woTemplates_model_5_ptm_pred_54.pdb,0.742
afm_basic_model_3_ptm_pred_193.pdb,0.74
afm_basic_model_5_ptm_pred_62.pdb,0.734
afm_woTemplates_model_5_ptm_pred_200.pdb,0.732
afm_dropout_full_model_3_ptm_pred_64.pdb,0.732
afm_dropout_noSM_woTemplates_model_3_ptm_pred_61.pdb,0.727
afm_woTemplates_model_5_ptm_pred_163.pdb,0.727
cf_woTemplates_model_3_ptm_pred_10.pdb,0.727
afm_dropout_full_woTemplates_model_3_ptm_pred_95.pdb,0.727
afm_dropout_full_woTemplates_model_5_ptm_pred_54.pdb,0.727
afm_basic_model_5_ptm_pred_104.pdb,0.725
afm_dropout_full_woTemplates_model_5_ptm_pred_53.pdb,0.725
afm_dropout_noSM_woTemplates_model_3_ptm_pred_72.pdb,0.723
afm_woTemplates_model_5_ptm_pred_77.pdb,0.723
afm_dropout_full_woTemplates_model_3_ptm_pred_118.pdb,0.723
afm_woTemplates_model_5_ptm_pred_181.pdb,0.723
cf_woTemplates_model_3_ptm_pred_129.pdb,0.721
afm_basic_model_5_ptm_pred_13.pdb,0.719
afm_woTemplates_model_5_ptm_pred_91.pdb,0.719
afm_woTemplates_model_5_ptm_pred_70.pdb,0.719
afm_dropout_noSM_woTemplates_model_3_ptm_pred_84.pdb,0.719
afm_woTemplates_model_5_ptm_pred_175.pdb,0.717
afm_woTemplates_model_5_ptm_pred_182.pdb,0.717
afm_basic_model_5_ptm_pred_5.pdb,0.717
afm_basic_model_5_ptm_pred_122.pdb,0.717
afm_basic_model_5_ptm_pred_121.pdb,0.715
afm_basic_model_5_ptm_pred_59.pdb,0.715
afm_dropout_full_model_5_ptm_pred_190.pdb,0.715
afm_dropout_full_model_5_ptm_pred_23.pdb,0.713
afm_basic_model_5_ptm_pred_80.pdb,0.711
afm_woTemplates_model_5_ptm_pred_55.pdb,0.711
afm_woTemplates_model_5_ptm_pred_100.pdb,0.709
afm_basic_model_5_ptm_pred_166.pdb,0.709
cf_woTemplates_model_3_ptm_pred_143.pdb,0.709
afm_dropout_noSM_woTemplates_model_5_ptm_pred_102.pdb,0.707
afm_dropout_noSM_woTemplates_model_3_ptm_pred_21.pdb,0.707
afm_dropout_full_woTemplates_model_3_ptm_pred_163.pdb,0.707
afm_dropout_full_model_5_ptm_pred_25.pdb,0.707
afm_dropout_full_woTemplates_model_5_ptm_pred_171.pdb,0.707
afm_dropout_noSM_woTemplates_model_5_ptm_pred_83.pdb,0.707
afm_dropout_full_woTemplates_model_5_ptm_pred_151.pdb,0.707
