model_name,ips
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_28.pdb,0.794
afm_woTemplates_model_4_multimer_v3_pred_3.pdb,0.794
afm_woTemplates_model_4_multimer_v3_pred_46.pdb,0.794
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_4.pdb,0.794
afm_basic_model_4_multimer_v3_pred_36.pdb,0.794
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_50.pdb,0.794
afm_basic_model_4_multimer_v3_pred_15.pdb,0.794
afm_woTemplates_model_4_multimer_v3_pred_21.pdb,0.794
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_41.pdb,0.794
afm_woTemplates_model_4_multimer_v3_pred_32.pdb,0.794
afm_basic_model_4_multimer_v3_pred_20.pdb,0.794
afm_woTemplates_model_2_multimer_v3_pred_17.pdb,0.794
afm_dropout_full_model_2_multimer_v2_pred_26.pdb,0.794
afm_woTemplates_model_4_multimer_v3_pred_59.pdb,0.794
afm_woTemplates_model_2_multimer_v3_pred_26.pdb,0.793
afm_dropout_full_model_5_multimer_v3_pred_58.pdb,0.793
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_6.pdb,0.792
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_59.pdb,0.792
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_41.pdb,0.792
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_34.pdb,0.792
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_41.pdb,0.792
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_12.pdb,0.792
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_2.pdb,0.792
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_49.pdb,0.792
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_51.pdb,0.792
afm_dropout_full_model_5_multimer_v3_pred_7.pdb,0.792
afm_basic_model_4_multimer_v2_pred_30.pdb,0.792
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_62.pdb,0.792
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_38.pdb,0.792
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_27.pdb,0.792
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_42.pdb,0.792
