model_name,rmsd
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_60.pdb,74.429
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_51.pdb,74.21
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_3.pdb,73.99
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_7.pdb,73.951
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_15.pdb,73.831
afm_dropout_full_model_1_multimer_v2_pred_5.pdb,73.671
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_16.pdb,73.621
afm_dropout_full_model_4_multimer_v2_pred_38.pdb,73.539
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_36.pdb,73.523
afm_dropout_full_model_4_multimer_v2_pred_53.pdb,73.483
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_19.pdb,73.474
afm_woTemplates_model_4_multimer_v2_pred_54.pdb,73.413
afm_basic_model_4_multimer_v2_pred_16.pdb,73.34
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_45.pdb,73.183
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_8.pdb,73.179
afm_woTemplates_model_4_multimer_v2_pred_62.pdb,73.129
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_19.pdb,73.078
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_33.pdb,72.773
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_31.pdb,72.758
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_49.pdb,72.714
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_19.pdb,72.59
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_35.pdb,72.385
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_46.pdb,72.383
cf_woTemplates_model_4_multimer_v2_pred_30.pdb,72.277
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_16.pdb,72.179
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_10.pdb,72.059
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_51.pdb,71.987
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_66.pdb,71.896
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_22.pdb,71.793
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_55.pdb,71.604
afm_dropout_full_model_4_multimer_v2_pred_55.pdb,71.356
afm_woTemplates_model_4_multimer_v2_pred_63.pdb,71.178
afm_woTemplates_model_4_multimer_v2_pred_3.pdb,71.115
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_44.pdb,71.068
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_3.pdb,71.007
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_29.pdb,70.884
afm_basic_model_4_multimer_v2_pred_6.pdb,70.835
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_61.pdb,70.821
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_66.pdb,70.476
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_1.pdb,70.45
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_17.pdb,70.306
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_48.pdb,69.947
afm_dropout_full_model_4_multimer_v2_pred_15.pdb,69.903
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_16.pdb,69.859
afm_basic_model_4_multimer_v2_pred_32.pdb,69.759
afm_basic_model_4_multimer_v2_pred_30.pdb,69.636
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_52.pdb,69.608
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_2.pdb,69.536
afm_basic_model_4_multimer_v2_pred_55.pdb,69.28
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_2.pdb,69.123
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_1.pdb,69.121
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_25.pdb,69.07
afm_dropout_full_model_1_multimer_v2_pred_39.pdb,68.994
afm_woTemplates_model_4_multimer_v2_pred_66.pdb,68.933
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_6.pdb,68.828
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_43.pdb,68.651
afm_basic_model_4_multimer_v2_pred_63.pdb,68.64
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_14.pdb,68.59
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_56.pdb,68.566
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_40.pdb,68.423
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_62.pdb,68.25
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_8.pdb,68.109
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_0.pdb,68.089
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_41.pdb,67.96
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_27.pdb,67.955
afm_woTemplates_model_4_multimer_v2_pred_7.pdb,67.846
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_40.pdb,67.789
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_37.pdb,67.574
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_52.pdb,67.48
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_31.pdb,67.439
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_51.pdb,67.305
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_10.pdb,67.285
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_60.pdb,67.258
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_57.pdb,67.177
afm_basic_model_2_multimer_v2_pred_8.pdb,67.13
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_64.pdb,67.047
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_35.pdb,66.999
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_33.pdb,66.971
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_21.pdb,66.958
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_38.pdb,66.894
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_11.pdb,66.855
