model_name,ips
afm_dropout_full_model_2_multimer_v3_pred_44.pdb,0.228
afm_dropout_full_model_1_multimer_v2_pred_55.pdb,0.228
cf_woTemplates_model_2_multimer_v3_pred_22.pdb,0.228
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_20.pdb,0.228
afm_dropout_full_model_4_multimer_v3_pred_30.pdb,0.228
afm_woTemplates_model_3_multimer_v2_pred_50.pdb,0.228
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_34.pdb,0.227
afm_dropout_full_model_3_multimer_v3_pred_9.pdb,0.227
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_31.pdb,0.227
afm_dropout_full_model_4_multimer_v3_pred_48.pdb,0.227
afm_woTemplates_model_3_multimer_v2_pred_30.pdb,0.227
afm_basic_model_4_multimer_v3_pred_7.pdb,0.227
cf_woTemplates_model_3_multimer_v3_pred_13.pdb,0.227
afm_dropout_full_model_3_multimer_v3_pred_45.pdb,0.227
afm_dropout_full_model_1_multimer_v2_pred_62.pdb,0.227
afm_basic_model_5_multimer_v3_pred_61.pdb,0.227
afm_dropout_full_model_3_multimer_v3_pred_60.pdb,0.227
afm_dropout_full_model_3_multimer_v3_pred_5.pdb,0.227
afm_basic_model_4_multimer_v3_pred_43.pdb,0.227
afm_woTemplates_model_3_multimer_v2_pred_1.pdb,0.227
afm_woTemplates_model_3_multimer_v2_pred_45.pdb,0.227
afm_basic_model_5_multimer_v3_pred_40.pdb,0.227
afm_dropout_full_model_5_multimer_v3_pred_16.pdb,0.227
afm_woTemplates_model_3_multimer_v3_pred_55.pdb,0.227
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_49.pdb,0.226
afm_dropout_full_model_3_multimer_v3_pred_1.pdb,0.226
afm_basic_model_3_multimer_v3_pred_30.pdb,0.226
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_63.pdb,0.226
afm_dropout_full_model_1_multimer_v2_pred_24.pdb,0.226
afm_dropout_full_model_3_multimer_v3_pred_36.pdb,0.226
afm_dropout_full_model_3_multimer_v3_pred_13.pdb,0.226
afm_basic_model_1_multimer_v2_pred_7.pdb,0.226
afm_basic_model_4_multimer_v3_pred_64.pdb,0.226
afm_dropout_full_model_1_multimer_v2_pred_41.pdb,0.226
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_48.pdb,0.226
