model_name,dockq_ave
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_3.pdb,0.089
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_1.pdb,0.088
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_0.pdb,0.088
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_4.pdb,0.088
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_0.pdb,0.088
afm_dropout_full_model_4_multimer_v1_pred_3.pdb,0.087
afm_woTemplates_model_5_multimer_v1_pred_4.pdb,0.087
afm_dropout_full_model_4_multimer_v1_pred_2.pdb,0.086
cf_woTemplates_model_4_multimer_v1_pred_3.pdb,0.086
afm_basic_model_4_multimer_v1_pred_2.pdb,0.086
afm_dropout_full_model_4_multimer_v1_pred_4.pdb,0.086
cf_woTemplates_model_2_multimer_v2_pred_0.pdb,0.085
afm_dropout_full_model_3_multimer_v1_pred_0.pdb,0.084
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_3.pdb,0.084
afm_woTemplates_model_5_multimer_v2_pred_1.pdb,0.083
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_3.pdb,0.082
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_2.pdb,0.082
afm_woTemplates_model_3_multimer_v2_pred_2.pdb,0.081
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_2.pdb,0.08
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_4.pdb,0.08
afm_woTemplates_model_4_multimer_v1_pred_0.pdb,0.079
afm_dropout_full_model_4_multimer_v1_pred_0.pdb,0.079
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_4.pdb,0.079
afm_basic_model_2_multimer_v1_pred_2.pdb,0.079
afm_woTemplates_model_5_multimer_v2_pred_0.pdb,0.079
afm_woTemplates_model_4_multimer_v1_pred_1.pdb,0.078
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_4.pdb,0.078
afm_basic_model_2_multimer_v1_pred_4.pdb,0.077
afm_basic_model_5_multimer_v1_pred_1.pdb,0.077
cf_woTemplates_model_4_multimer_v1_pred_4.pdb,0.076
cf_woTemplates_model_2_multimer_v1_pred_0.pdb,0.076
afm_basic_model_2_multimer_v1_pred_0.pdb,0.076
afm_basic_model_2_multimer_v1_pred_1.pdb,0.076
afm_basic_model_4_multimer_v1_pred_1.pdb,0.076
afm_basic_model_4_multimer_v1_pred_0.pdb,0.076
afm_basic_model_3_multimer_v2_pred_2.pdb,0.075
afm_basic_model_5_multimer_v1_pred_0.pdb,0.075
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_2.pdb,0.075
afm_woTemplates_model_2_multimer_v1_pred_3.pdb,0.075
afm_basic_model_5_multimer_v1_pred_4.pdb,0.075
afm_woTemplates_model_4_multimer_v1_pred_2.pdb,0.074
cf_woTemplates_model_2_multimer_v1_pred_1.pdb,0.074
afm_woTemplates_model_3_multimer_v1_pred_2.pdb,0.074
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_0.pdb,0.073
afm_basic_model_2_multimer_v1_pred_3.pdb,0.072
afm_dropout_full_model_1_multimer_v2_pred_1.pdb,0.072
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_3.pdb,0.072
afm_woTemplates_model_3_multimer_v1_pred_0.pdb,0.072
afm_woTemplates_model_4_multimer_v1_pred_3.pdb,0.072
afm_woTemplates_model_3_multimer_v1_pred_3.pdb,0.071
afm_woTemplates_model_4_multimer_v1_pred_4.pdb,0.071
afm_woTemplates_model_2_multimer_v1_pred_1.pdb,0.071
afm_woTemplates_model_2_multimer_v1_pred_0.pdb,0.07
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_0.pdb,0.07
cf_woTemplates_model_2_multimer_v1_pred_2.pdb,0.07
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_0.pdb,0.068
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_4.pdb,0.068
afm_woTemplates_model_2_multimer_v1_pred_2.pdb,0.068
afm_basic_model_5_multimer_v1_pred_2.pdb,0.068
afm_woTemplates_model_3_multimer_v1_pred_4.pdb,0.067
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_2.pdb,0.067
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_1.pdb,0.066
afm_basic_model_4_multimer_v1_pred_4.pdb,0.065
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_3.pdb,0.065
afm_woTemplates_model_3_multimer_v1_pred_1.pdb,0.065
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_2.pdb,0.063
cf_woTemplates_model_4_multimer_v1_pred_0.pdb,0.062
afm_woTemplates_model_3_multimer_v2_pred_4.pdb,0.062
afm_woTemplates_model_5_multimer_v2_pred_4.pdb,0.062
afm_woTemplates_model_3_multimer_v2_pred_3.pdb,0.061
afm_woTemplates_model_2_multimer_v1_pred_4.pdb,0.06
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_0.pdb,0.059
afm_basic_model_3_multimer_v2_pred_0.pdb,0.056
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_2.pdb,0.052
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_0.pdb,0.052
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.05
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_1.pdb,0.05
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_3.pdb,0.046
afm_woTemplates_model_3_multimer_v2_pred_1.pdb,0.043
afm_dropout_full_model_5_multimer_v2_pred_2.pdb,0.042
afm_woTemplates_model_2_multimer_v2_pred_2.pdb,0.041
afm_woTemplates_model_2_multimer_v2_pred_4.pdb,0.041
afm_woTemplates_model_4_multimer_v2_pred_0.pdb,0.039
afm_dropout_full_model_5_multimer_v2_pred_1.pdb,0.039
afm_dropout_full_model_5_multimer_v2_pred_0.pdb,0.038
afm_dropout_full_model_4_multimer_v2_pred_2.pdb,0.038
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.038
afm_dropout_full_model_5_multimer_v2_pred_4.pdb,0.037
afm_woTemplates_model_4_multimer_v2_pred_1.pdb,0.036
afm_dropout_full_model_4_multimer_v2_pred_1.pdb,0.036
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_0.pdb,0.035
afm_woTemplates_model_4_multimer_v2_pred_3.pdb,0.033
afm_woTemplates_model_4_multimer_v2_pred_4.pdb,0.033
afm_dropout_full_model_2_multimer_v2_pred_3.pdb,0.033
afm_dropout_full_model_4_multimer_v2_pred_3.pdb,0.032
afm_woTemplates_model_4_multimer_v2_pred_2.pdb,0.032
afm_dropout_full_model_2_multimer_v2_pred_0.pdb,0.032
afm_dropout_full_model_3_multimer_v2_pred_1.pdb,0.031
afm_dropout_full_model_5_multimer_v2_pred_3.pdb,0.03
afm_dropout_full_model_4_multimer_v2_pred_4.pdb,0.03
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_4.pdb,0.03
afm_dropout_full_model_2_multimer_v2_pred_1.pdb,0.029
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_0.pdb,0.029
afm_woTemplates_model_2_multimer_v2_pred_0.pdb,0.028
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_1.pdb,0.024
afm_woTemplates_model_2_multimer_v2_pred_3.pdb,0.024
afm_dropout_full_model_3_multimer_v2_pred_0.pdb,0.023
afm_dropout_full_model_3_multimer_v2_pred_2.pdb,0.023
afm_dropout_full_model_2_multimer_v2_pred_4.pdb,0.021
afm_woTemplates_model_2_multimer_v2_pred_1.pdb,0.021
afm_dropout_full_model_3_multimer_v2_pred_3.pdb,0.021
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_1.pdb,0.018
afm_dropout_full_model_3_multimer_v2_pred_4.pdb,0.018
afm_dropout_full_model_4_multimer_v2_pred_0.pdb,0.018
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_0.pdb,0.017
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_4.pdb,0.016
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_2.pdb,0.015
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_3.pdb,0.015
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_2.pdb,0.014
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_1.pdb,0.013
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_1.pdb,0.012
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_4.pdb,0.011
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_2.pdb,0.011
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_3.pdb,0.011
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_3.pdb,0.011
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_1.pdb,0.01
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_0.pdb,0.01
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_3.pdb,0.01
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_2.pdb,0.009
afm_dropout_full_model_2_multimer_v2_pred_2.pdb,0.009
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_4.pdb,0.009
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_3.pdb,0.006
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_0.pdb,0.005
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_4.pdb,0.005
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_0.pdb,0.004
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_2.pdb,0.004
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_3.pdb,0.003
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_1.pdb,0.003
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_1.pdb,0.003
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_3.pdb,0.003
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_4.pdb,0.003
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_1.pdb,0.003
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_2.pdb,0.003
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_2.pdb,0.002
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_4.pdb,0.002
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_3.pdb,0.002
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_4.pdb,0.002
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_0.pdb,0.002
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_3.pdb,0.002
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_2.pdb,0.001
