model_name,oligo_gdtha
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_3.pdb,0.038
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_3.pdb,0.038
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_4.pdb,0.037
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_0.pdb,0.037
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_4.pdb,0.037
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_2.pdb,0.037
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_1.pdb,0.036
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_2.pdb,0.036
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_1.pdb,0.034
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_1.pdb,0.034
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_4.pdb,0.034
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_3.pdb,0.034
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_1.pdb,0.034
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_2.pdb,0.033
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_4.pdb,0.033
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_4.pdb,0.033
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_0.pdb,0.032
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_4.pdb,0.032
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_4.pdb,0.032
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_0.pdb,0.032
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_0.pdb,0.032
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_3.pdb,0.032
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_2.pdb,0.031
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_2.pdb,0.031
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_3.pdb,0.031
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_0.pdb,0.03
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_1.pdb,0.029
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_3.pdb,0.029
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_2.pdb,0.027
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_1.pdb,0.026
